# t ax ay az
2.86 0.004020668518 0.0002065731806 -0.0001291287507
2.87 0.004020617378 0.0002072933968 -0.0001291445795
2.88 0.004020566116 0.000208013597 -0.0001291604032
2.89 0.004020514731 0.000208733781 -0.0001291762216
2.9 0.004020463222 0.0002094539488 -0.0001291920348
2.91 0.004020411591 0.0002101741004 -0.0001292078428
2.92 0.004020359836 0.0002108942358 -0.0001292236456
2.93 0.004020307959 0.0002116143551 -0.0001292394431
2.94 0.004020255959 0.000212334458 -0.0001292552355
2.95 0.004020203835 0.0002130545448 -0.0001292710227
2.96 0.004020151589 0.0002137746152 -0.0001292868047
2.97 0.00402009922 0.0002144946694 -0.0001293025814
2.98 0.004020046727 0.0002152147072 -0.000129318353
2.99 0.004019994112 0.0002159347288 -0.0001293341194
3 0.004019941374 0.000216654734 -0.0001293498805
3.01 0.004019888513 0.0002173747228 -0.0001293656364
3.02 0.004019835529 0.0002180946952 -0.0001293813872
3.03 0.004019782422 0.0002188146513 -0.0001293971327
3.04 0.004019729192 0.0002195345909 -0.000129412873
3.05 0.004019675839 0.0002202545141 -0.0001294286081
3.06 0.004019622363 0.0002209744209 -0.000129444338
3.07 0.004019568765 0.0002216943112 -0.0001294600626
3.08 0.004019515043 0.000222414185 -0.0001294757821
3.09 0.004019461198 0.0002231340423 -0.0001294914964
3.1 0.004019407231 0.0002238538831 -0.0001295072054
3.11 0.004019353141 0.0002245737073 -0.0001295229093
3.12 0.004019298928 0.000225293515 -0.0001295386079
3.13 0.004019244592 0.0002260133061 -0.0001295543013
3.14 0.004019190133 0.0002267330806 -0.0001295699895
3.15 0.004019135551 0.0002274528386 -0.0001295856725
3.16 0.004019080846 0.0002281725798 -0.0001296013502
3.17 0.004019026019 0.0002288923045 -0.0001296170228
3.18 0.004018971068 0.0002296120125 -0.0001296326901
3.19 0.004018915995 0.0002303317038 -0.0001296483523
3.2 0.004018860799 0.0002310513784 -0.0001296640092
3.21 0.00401880548 0.0002317710363 -0.0001296796609
3.22 0.004018750039 0.0002324906774 -0.0001296953074
3.23 0.004018694474 0.0002332103018 -0.0001297109486
3.24 0.004018638787 0.0002339299095 -0.0001297265847
3.25 0.004018582977 0.0002346495003 -0.0001297422155
3.26 0.004018527044 0.0002353690744 -0.0001297578412
3.27 0.004018470988 0.0002360886316 -0.0001297734616
3.28 0.004018414809 0.000236808172 -0.0001297890767
3.29 0.004018358508 0.0002375276955 -0.0001298046867
3.3 0.004018302084 0.0002382472022 -0.0001298202915
3.31 0.004018245537 0.0002389666919 -0.000129835891
3.32 0.004018188868 0.0002396861648 -0.0001298514853
3.33 0.004018132075 0.0002404056207 -0.0001298670744
3.34 0.00401807516 0.0002411250597 -0.0001298826583
3.35 0.004018018122 0.0002418444817 -0.0001298982369
3.36 0.004017960961 0.0002425638867 -0.0001299138103
3.37 0.004017903678 0.0002432832748 -0.0001299293785
3.38 0.004017846272 0.0002440026458 -0.0001299449415
3.39 0.004017788743 0.0002447219998 -0.0001299604993
3.4 0.004017731091 0.0002454413367 -0.0001299760518
3.41 0.004017673317 0.0002461606566 -0.0001299915992
3.42 0.00401761542 0.0002468799593 -0.0001300071413
3.43 0.0040175574 0.000247599245 -0.0001300226782
3.44 0.004017499258 0.0002483185136 -0.0001300382098
3.45 0.004017440993 0.000249037765 -0.0001300537362
3.46 0.004017382605 0.0002497569992 -0.0001300692574
3.47 0.004017324094 0.0002504762163 -0.0001300847734
3.48 0.004017265461 0.0002511954162 -0.0001301002842
3.49 0.004017206705 0.0002519145989 -0.0001301157897
3.5 0.004017147827 0.0002526337643 -0.00013013129
3.51 0.004017088825 0.0002533529125 -0.0001301467851
3.52 0.004017029701 0.0002540720435 -0.000130162275
