# t x y z R phi vx vy vz vR vphi vz_cyl
1.54 10.00103927 0.3319605336 0.1067035947 10.00654707 0.03318042184 -0.003048782968 0.2154763986 0.004304960881 0.004101181137 0.2154589375 0.004304960881
1.55 10.00100854 0.3341152896 0.1067466411 10.00658807 0.03339573892 -0.003097117617 0.2154747891 0.004304324092 0.004099211591 0.2154580547 0.004304324092
1.56 10.00097733 0.3362700293 0.1067896812 10.00662905 0.03361105424 -0.003145451716 0.2154731691 0.004303687051 0.004097241677 0.2154571723 0.004303687051
1.57 10.00094563 0.3384247529 0.1068327149 10.00667002 0.0338263678 -0.003193785261 0.2154715388 0.004303049759 0.004095271397 0.2154562903 0.004303049759
1.58 10.00091345 0.3405794601 0.1068757422 10.00671096 0.03404167959 -0.003242118251 0.215469898 0.004302412215 0.004093300751 0.2154554088 0.004302412215
1.59 10.00088079 0.3427341508 0.1069187631 10.00675188 0.03425698963 -0.003290450684 0.2154682468 0.00430177442 0.004091329739 0.2154545276 0.00430177442
1.6 10.00084764 0.344888825 0.1069617777 10.00679279 0.0344722979 -0.003338782557 0.2154665853 0.004301136374 0.004089358362 0.215453647 0.004301136374
1.61 10.00081401 0.3470434824 0.1070047858 10.00683367 0.03468760441 -0.003387113868 0.2154649133 0.004300498076 0.004087386618 0.2154527667 0.004300498076
1.62 10.0007799 0.3491981232 0.1070477876 10.00687453 0.03490290916 -0.003435444615 0.2154632309 0.004299859527 0.004085414509 0.2154518869 0.004299859527
1.63 10.0007453 0.351352747 0.107090783 10.00691538 0.03511821216 -0.003483774796 0.2154615382 0.004299220726 0.004083442035 0.2154510075 0.004299220726
1.64 10.00071022 0.3535073539 0.107133772 10.0069562 0.0353335134 -0.003532104409 0.215459835 0.004298581674 0.004081469195 0.2154501285 0.004298581674
1.65 10.00067466 0.3556619437 0.1071767547 10.00699701 0.03554881288 -0.003580433451 0.2154581215 0.004297942372 0.004079495991 0.21544925 0.004297942372
1.66 10.00063862 0.3578165163 0.1072197309 10.00703779 0.03576411061 -0.003628761921 0.2154563975 0.004297302818 0.004077522422 0.2154483719 0.004297302818
1.67 10.00060209 0.3599710716 0.1072627007 10.00707856 0.03597940658 -0.003677089816 0.2154546632 0.004296663013 0.004075548488 0.2154474942 0.004296663013
1.68 10.00056507 0.3621256095 0.1073056641 10.0071193 0.0361947008 -0.003725417135 0.2154529184 0.004296022957 0.00407357419 0.215446617 0.004296022957
1.69 10.00052758 0.3642801299 0.1073486212 10.00716003 0.03640999327 -0.003773743874 0.2154511633 0.00429538265 0.004071599528 0.2154457402 0.00429538265
1.7 10.0004896 0.3664346327 0.1073915718 10.00720074 0.03662528398 -0.003822070033 0.2154493977 0.004294742091 0.004069624502 0.2154448639 0.004294742091
1.71 10.00045114 0.3685891178 0.107434516 10.00724142 0.03684057294 -0.003870395608 0.2154476218 0.004294101282 0.004067649113 0.2154439879 0.004294101282
1.72 10.00041219 0.3707435851 0.1074774538 10.00728209 0.03705586016 -0.003918720598 0.2154458355 0.004293460223 0.004065673359 0.2154431124 0.004293460223
1.73 10.00037276 0.3728980344 0.1075203852 10.00732274 0.03727114562 -0.003967045001 0.2154440387 0.004292818912 0.004063697243 0.2154422374 0.004292818912
