# id  R  x  y  vR  vphi  Lz0  Lz_end  dLz  JR0  JR_end  dJR  eR0  eR_end  deR  vR_end
112 19.5046 -5.86747 18.6011 -0.00152226 0.221658 4.32334 4.32335 4.72372e-06 0.000492779 0.000492925 1.46632e-07 3.90073e-06 3.90189e-06 1.15641e-09 -0.000127865
113 4.22762 -4.14783 -0.817492 0.0194585 0.22762 0.962291 0.962243 -4.86337e-05 0.00695359 0.00698219 2.85996e-05 0.000246728 0.000247752 1.0249e-06 0.00079323
114 5.46389 4.92185 -2.37265 -0.0198888 0.226787 1.23914 1.23994 0.000802174 0.00883244 0.00840439 -0.000428043 0.000243383 0.000231464 -1.19186e-05 -0.0105362
115 2.6388 2.2538 -1.37246 -0.00273521 0.210936 0.556618 0.556619 1.37677e-06 0.00141713 0.0014157 -1.43062e-06 8.70611e-05 8.69731e-05 -8.80477e-08 0.013174
116 2.7917 1.43007 -2.3976 0.0303144 0.22888 0.638964 0.639727 0.000762956 0.0100828 0.00932114 -0.000761628 0.000537306 0.00049632 -4.09861e-05 -0.00430479
117 4.62758 4.38574 1.47639 -0.00911107 0.201658 0.933187 0.933188 2.63577e-07 0.0106162 0.0105956 -2.05445e-05 0.000387911 0.000387163 -7.48048e-07 -0.000488052
118 4.67433 -4.22261 2.00472 0.00432494 0.22402 1.04714 1.04714 -1.80682e-06 0.00077783 0.000778912 1.08154e-06 2.54159e-05 2.54512e-05 3.53751e-08 0.00399443
119 4.02459 0.99972 3.89845 -0.011876 0.216561 0.87157 0.87157 -1.74221e-07 0.00210031 0.00209775 -2.56796e-06 8.24088e-05 8.23081e-05 -1.00659e-07 0.00769357
120 2.86033 2.37826 1.58913 0.0136323 0.201864 0.577396 0.577399 2.89386e-06 0.00730922 0.00730615 -3.06747e-06 0.000431471 0.000431288 -1.82466e-07 -0.00463591
121 3.21533 -0.683289 3.14189 -0.00484819 0.203702 0.654969 0.654433 -0.000536409 0.005456 0.00599169 0.000535693 0.000284324 0.000312413 2.80888e-05 0.0243237
122 5.30869 -5.21347 1.001 -0.00985636 0.21487 1.14068 1.14036 -0.000316683 0.00250482 0.00263378 0.000128962 7.5099e-05 7.89846e-05 3.88554e-06 0.0101095
123 2.83612 2.62853 1.06508 0.0221331 0.219823 0.623444 0.623735 0.000290626 0.00447286 0.00418304 -0.000289817 0.000244968 0.000229024 -1.59448e-05 0.0205187
124 2.29299 2.23205 0.525154 0.0128229 0.205314 0.470784 0.470785 2.38048e-07 0.00417928 0.00417915 -1.31943e-07 0.000302945 0.000302935 -9.67854e-09 0.00828271
125 4.75415 1.81811 -4.39277 0.0102006 0.209042 0.993817 0.993866 4.87034e-05 0.00506616 0.00505318 -1.29791e-05 0.000174175 0.000173721 -4.53985e-07 0.0031454
126 3.99685 -3.91337 -0.8126 0.00731649 0.213174 0.852024 0.852005 -1.85952e-05 0.0018399 0.00186079 2.0894e-05 7.38532e-05 7.46929e-05 8.39712e-07 0.0121995
127 2.86641 0.341868 -2.84595 0.00308931 0.226404 0.648967 0.64906 9.32733e-05 0.00086114 0.000767345 -9.37954e-05 4.53937e-05 4.04455e-05 -4.9482e-06 -0.00515287
128 3.5019 -3.22806 -1.35755 -0.0209088 0.218564 0.76539 0.765311 -7.86246e-05 0.0049451 0.00501866 7.35658e-05 0.000220656 0.000223954 3.2986e-06 -0.0135112
129 2.86718 -0.706187 2.77885 -0.0247479 0.216818 0.621656 0.621879 0.000223677 0.00576452 0.00553985 -0.000224671 0.000316404 0.000303998 -1.24054e-05 -0.0229766
130 8.35521 0.161741 8.35365 0.00916122 0.214193 1.78963 1.79051 0.000881663 0.0039764 0.00384392 -0.000132473 7.59879e-05 7.3422e-05 -2.56591e-06 -0.0120812
131 3.82645 0.197334 3.82135 0.00986246 0.210274 0.804601 0.804639 3.76795e-05 0.00340586 0.00336949 -3.63716e-05 0.000144671 0.000143121 -1.54956e-06 -0.0102521
132 3.8939 -0.638283 -3.84123 0.00459559 0.220828 0.859882 0.859896 1.40745e-05 0.000282548 0.000281905 -6.43171e-07 1.12445e-05 1.12187e-05 -2.57761e-08 -0.00105984
133 5.04852 1.1781 -4.90914 0.00579004 0.225718 1.13954 1.13955 8.18242e-06 0.00163829 0.00167498 3.66945e-05 4.918e-05 5.02806e-05 1.10065e-06 -0.00864607
134 2.56218 -1.33661 -2.18591 -0.00193776 0.200562 0.513874 0.513882 7.63464e-06 0.00590228 0.00589473 -7.54726e-06 0.000391635 0.00039113 -5.04794e-07 -0.0267496
135 5.28993 -3.44869 4.01122 -0.000843765 0.220096 1.16429 1.16431 1.60663e-05 1.24235e-05 7.21364e-07 -1.17022e-05 3.65184e-07 2.1204e-08 -3.4398e-07 -1.74896e-05
